pplid	pplxid
2658919	6292985
2658919	6292984
2658919	6292983
2658919	6292982
2658919	6292980
2658919	6292979
2658919	6292978
2659050	6292926
2659050	6292925
2659050	6292924
2659050	6292923
2659050	6292922
2659050	6292921
2659050	6292920
2659050	6292919
2659358	6292918
2659358	6292917
6292896	6292902
6292896	6292901
6292896	6292900
6292896	6292897
6292896	6292893
2661861	6292892
2660161	6292882
2660161	6292881
2660161	6292880
2660161	6292879
2660161	6292878
2660161	6292876
2660161	6292875
2660305	6292761
2659358	6292760
2660305	6292759
2660305	6292758
6295545	6295087
6295525	6295085
6295520	6295082
6295520	6295081
6295520	6295080
6295525	6294946
6295525	6294945
2659047	6294944
2659047	6294943
2659047	6294942
2660353	6294849
2660353	6294848
2660353	6294847
2660353	6294846
6295551	2659095
6295551	2660916
2660920	6294765
2660920	6294764
6295541	6294642
2661842	6290378
2661842	6290377
2661842	6290376
2661842	6290375
2661842	6290374
2661842	6290373
2661842	6290372
6295514	6294625
6295532	6290598
2658010	6292591
6292634	6292590
2658010	2659325
6292622	2658230
6295516	6290578
6295516	6290577
6295516	6290576
6292401	6292398
6292415	6292397
2658424	6292396
2658424	6291999
2658424	6291998
2658424	6291997
2658424	6291996
6295543	6291978
6295543	6291977
6295543	6291976
6295543	6291975
6295543	6291974
6295514	6294621
6295517	6294620
6295517	6294619
6295517	6294615
6295517	6294614
6295517	6294612
2660305	6292757
2661861	6292668
2661861	6292649
2661861	6292648
2661861	6292647
2661861	6292646
2661861	6292645
2661861	6292644
2661861	6292643
2661861	6292642
2661861	6292641
2661861	6292640
2661861	6292639
2661861	6292638
2661861	6292637
2661861	6292636
6295532	6290610
6295540	6290609
6295532	6290608
6295532	6290607
6295532	6290606
6295532	6290605
6295532	6290604
6295532	6290600
6293585	6293547
2659772	6293546
6295549	6293479
6295549	6293478
6295549	6293477
6295549	6293476
6295549	6293475
6295549	6293474
6295549	6293473
6295549	6293472
6295549	6293471
6295549	6293469
6295549	6293468
6290582	2659670
2659380	2660590
2660805	6293390
2660805	6293389
2660805	6293388
2660805	6293387
2660805	6293386
2660805	6293385
2660805	6293384
2660805	6293383
2660805	6293382
2659772	6293364
2659772	6293363
2659772	6293362
2659772	6293361
2659772	6293360
2659772	6293359
2659772	6293358
2658276	6293357
2659772	6293356
2660089	6293335
2660089	6293334
2660089	6293333
2660089	6293332
2660089	6293331
2660089	6293330
2660809	6293321
2660809	6293320
2660809	6293319
2660809	6293316
2660309	6293270
2660309	6293269
2660309	6293231
2660309	6293230
2660309	6293229
2660309	6293228
2660309	6293227
2660309	6293226
2660309	6293225
2660309	6293224
2660309	6293223
2660872	6293194
2660872	6293193
2660872	6293192
2660872	6293191
6295515	6291824
6295515	6291822
6295515	6291817
6295515	6291810
6295515	6291809
6290333	2661845
2659317	6290558
2659317	6290556
2659317	6290555
6293970	2660944
6295526	6293925
6295543	6291973
6295543	6291972
6295543	6291971
6295543	6291970
6295543	6291969
6295543	6291968
6295543	6291967
2661359	6291927
2661359	6291926
2661359	6291925
2661359	6291924
2661359	6291923
2661359	6291922
2661359	6291921
6295519	6291834
6295519	6291833
6290333	6290327
6294553	6294617
6295523	6294232
6293939	6293938
6295521	2661666
6293594	6293549
2660161	6292877
2660515	6294424
